"","GEOID","County","State","Year","Race","Population","Householder","head.rate"
"319","17089","Kane County","Illinois",2007,"Other",60794,13546,0.222818041254071
"320","17089","Kane County","Illinois",2007,"NH",353617,128126,0.362329865362808
"321","17091","Kankakee County","Illinois",2007,"All",109276,40249,0.368324243200703
"322","17091","Kankakee County","Illinois",2007,"White",88140,33792,0.383390061266167
"323","17091","Kankakee County","Illinois",2007,"Black",16103,5426,0.336955846736633
"324","17091","Kankakee County","Illinois",2007,"Asian",1054,295,0.27988614800759
"325","17091","Kankakee County","Illinois",2007,"NH_White",83274,32390,0.388956937339386
"326","17091","Kankakee County","Illinois",2007,"Hispanic",7397,1863,0.251858861700689
"327","17091","Kankakee County","Illinois",2007,"Other",3979,736,0.184971098265896
"328","17091","Kankakee County","Illinois",2007,"NH",101879,38386,0.376780298196881
"329","17093","Kendall County","Illinois",2007,"All",87808,28793,0.327908618804665
"330","17093","Kendall County","Illinois",2007,"White",75402,25545,0.338784117132172
"331","17093","Kendall County","Illinois",2007,"Black",3650,1113,0.304931506849315
"332","17093","Kendall County","Illinois",2007,"Asian",2083,549,0.263562169947192
"333","17093","Kendall County","Illinois",2007,"NH_White",68097,23889,0.350808405656637
"334","17093","Kendall County","Illinois",2007,"Hispanic",12712,3093,0.243313404657017
"335","17093","Kendall County","Illinois",2007,"Other",6673,1586,0.237674209500974
"336","17093","Kendall County","Illinois",2007,"NH",75096,25700,0.342228614040695
"337","17097","Lake County","Illinois",2007,"All",703706,233617,0.331980969325258
"338","17097","Lake County","Illinois",2007,"White",559025,193116,0.345451455659407
"339","17097","Lake County","Illinois",2007,"Black",46838,15412,0.329049062726846
"340","17097","Lake County","Illinois",2007,"Asian",39392,12028,0.30534118602762
"341","17097","Lake County","Illinois",2007,"NH_White",477458,174484,0.365443662060328
"342","17097","Lake County","Illinois",2007,"Hispanic",131088,30123,0.229792200659099
"343","17097","Lake County","Illinois",2007,"Other",58451,13061,0.223452122290466
"344","17097","Lake County","Illinois",2007,"NH",572618,203494,0.355374787380068
"345","17099","LaSalle County","Illinois",2007,"All",112165,45375,0.404537957473365
"346","17099","LaSalle County","Illinois",2007,"White",105626,43296,0.409899077878553
"347","17099","LaSalle County","Illinois",2007,"Black",975,579,0.593846153846154
"348","17099","LaSalle County","Illinois",2007,"Asian",831,301,0.362214199759326
"349","17099","LaSalle County","Illinois",2007,"NH_White",100859,41876,0.415193487938607
"350","17099","LaSalle County","Illinois",2007,"Hispanic",7569,2333,0.308230942000264
"351","17099","LaSalle County","Illinois",2007,"Other",4733,1199,0.253327699133742
"352","17099","LaSalle County","Illinois",2007,"NH",104596,43042,0.411507132203908
"353","17103","Lee County","Illinois",2007,"All",35349,NA,NA
"354","17103","Lee County","Illinois",2007,"White",32609,NA,NA
"355","17103","Lee County","Illinois",2007,"Black",1468,NA,NA
"356","17103","Lee County","Illinois",2007,"Asian",134,NA,NA
"357","17103","Lee County","Illinois",2007,"NH_White",31636,12588,0.397901125300291
"358","17103","Lee County","Illinois",2007,"Hispanic",1437,332,0.231036882393876
"359","17103","Lee County","Illinois",2007,"Other",1138,NA,NA
"360","17103","Lee County","Illinois",2007,"NH",33912,NA,NA
"361","17111","McHenry County","Illinois",2007,"All",309448,105901,0.342225511232905
"362","17111","McHenry County","Illinois",2007,"White",279421,98267,0.351680797076812
"363","17111","McHenry County","Illinois",2007,"Black",2811,729,0.259338313767343
"364","17111","McHenry County","Illinois",2007,"Asian",8220,2126,0.258637469586375
"365","17111","McHenry County","Illinois",2007,"NH_White",263111,94691,0.359889932385951
"366","17111","McHenry County","Illinois",2007,"Hispanic",32525,7680,0.236126056879324
"367","17111","McHenry County","Illinois",2007,"Other",18996,4779,0.251579279848389
"368","17111","McHenry County","Illinois",2007,"NH",276923,98221,0.354687042968623
"369","17141","Ogle County","Illinois",2007,"All",54543,20282,0.37185340006967
"370","17141","Ogle County","Illinois",2007,"White",51308,19643,0.382844780541046
"371","17141","Ogle County","Illinois",2007,"Black",273,55,0.201465201465201
